Chave de Acesso,Data e Hora,Origem
52251021929651000130650010000028231532905220,2025-10-21 11:45:07,Upload
52251047260527000119650110001542501000194960,2025-10-21 11:50:32,Upload
52251047260527000119650050003379731000007986,2025-10-21 11:54:31,Upload
52251006057223034319650010002086081010231375,2025-10-21 12:37:07,Upload
52251047260527000119650110001546541000029080,2025-10-21 12:40:12,Foto
52251047260527000119650110001538511000056660,2025-10-21 12:47:41,Foto
